Years,Amount
2012,35515843.49
2013,36324163.160000004
2014,35617884.900000006
2015,38898721.169999994
2016,38149421.839999996
2017,38303279.41
2018,39841765.25
2019,41504542.13999999
2020,41427080.51
2021,46653398.45
2022,50468971.519999996
